id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2225,2020-01-20,000002,Vente,1,,,AUX PUGINS,B035,01280,01313,Prévessin-Moëns,01,,,01313000AP0156,,,,,,,,,,,,,0,,,,,S,sols,,,411,6.075931,46.25002
2020-2226,2020-01-21,000001,Vente,162000,1,,RUE DES APOTRES,0100,01500,01004,Ambérieu-en-Bugey,01,,,01004000AW0229,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,83,5.355974,45.965435
2020-2226,2020-01-21,000001,Vente,162000,1,,RUE DES APOTRES,0100,01500,01004,Ambérieu-en-Bugey,01,,,01004000AW0229,,,,,,,,,,,,,0,2,Appartement,100,4,S,sols,,,83,5.355974,45.965435
2020-2226,2020-01-21,000001,Vente,162000,1,,RUE DES APOTRES,0100,01500,01004,Ambérieu-en-Bugey,01,,,01004000AW0229,,,,,,,,,,,,,0,2,Appartement,60,2,S,sols,,,83,5.355974,45.965435
2020-2227,2020-01-20,000001,Vente,75000,,,EN COUZANCIN,B095,01500,01007,Ambronay,01,,,01007000ZN0673,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,660,5.354395,46.004734
2020-2228,2020-01-23,000001,Vente,107000,12,,RUE L'ACHAT,0100,01500,01007,Ambronay,01,,,01007000ZW0075,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,72,5.321456,46.017747
2020-2229,2020-01-22,000001,Vente,128400,15,,IMP DE LA CURE,0019,01500,01041,Bettant,01,,,01041000AD0380,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,270,5.363559,45.942796
2020-2230,2020-01-14,000001,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0139,,,,,,,,,,,,,0,,,,,S,sols,,,2879,6.112776,46.328009
2020-2230,2020-01-14,000001,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0140,,,,,,,,,,,,,0,,,,,S,sols,,,928,6.111095,46.328689
2020-2230,2020-01-14,000001,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0141,,,,,,,,,,,,,0,,,,,S,sols,,,43,6.113697,46.327721
2020-2230,2020-01-14,000001,Vente,,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0142,,,,,,,,,,,,,0,,,,,S,sols,,,20,6.11367,46.327687
2020-2231,2020-01-14,000002,Vente,946350,2,,RTE DE SAUVERNY,0120,01220,01180,Grilly,01,,,01180000AP0132,,,,,,,,,,,,,0,1,Maison,226,5,S,sols,,,1000,6.110928,46.328701
2020-2231,2020-01-14,000002,Vente,946350,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0139,,,,,,,,,,,,,0,,,,,S,sols,,,2879,6.112776,46.328009
2020-2231,2020-01-14,000002,Vente,946350,,,LA CROIX,B016,01220,01180,Grilly,01,,,01180000AP0140,,,,,,,,,,,,,0,,,,,S,sols,,,928,6.111095,46.328689
